"site","title","link","title_wordcnt"
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Demi ready for R-rated film","http://www.foxnews.com/entertainment/2017/04/05/demi-lovato-talks-plans-for-r-rated-camp-rock-3.html",5
"The New York Times - Breaking News, World News & Multimedia","Off Belize, a Hunt for Fly-Fishing’s Top Prizes","https://www.nytimes.com/2017/04/05/travel/belize-fly-fishing-ambergris-cave-coast.html",8
"The New York Times - Breaking News, World News & Multimedia","Melania Trump Meets Queen Rania of Jordan","https://www.nytimes.com/2017/04/05/world/middleeast/queen-rania-jordan-melania-trump.html",7
"The New York Times - Breaking News, World News & Multimedia","Films Like ‘The Boss Baby’ Can Be Painful","https://www.nytimes.com/2017/04/05/movies/the-boss-baby-producers-adoptees-foster-families.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","George Strait's favorite drink","http://www.foxnews.com/food-drink/2017/04/05/country-legend-george-strait-reveals-story-behind-his-first-tequila.html",4
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Merriam-Webster Defines 'Complicit' So Ivanka Trump Doesn't Have To","http://www.huffingtonpost.com/entry/merriam-webster-defines-complicit-so-ivanka-trump-doesnt-have-to_us_58e4f43be4b0d0b7e1669e07?ahjgygfe9nsfko6r&ncid=inblnkushpmg00000009",9
"The New York Times - Breaking News, World News & Multimedia","President Trump’s Most Important Meeting","https://www.nytimes.com/2017/04/05/opinion/president-trumps-most-important-meeting.html",5
"The New York Times - Breaking News, World News & Multimedia","Bruni: Kushner, a Man of Steel","https://www.nytimes.com/2017/04/05/opinion/jared-kushner-man-of-steel.html",6
"The New York Times - Breaking News, World News & Multimedia","Douthat: A Good Emperor","https://www.nytimes.com/2017/04/05/opinion/in-search-of-a-good-emperor.html",4
"The New York Times - Breaking News, World News & Multimedia","Friedman: President Trump’s Real-World Syria Lesson","https://www.nytimes.com/2017/04/05/opinion/president-trumps-real-world-syria-lesson.html",6
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Cisco's CEO to Join BlackRock's Board","http://www.foxbusiness.com/features/2017/04/05/ciscos-ceo-to-join-blackrocks-board.html",6
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Buick Turns the Regal Into Rugged Station Wagon","http://www.foxbusiness.com/markets/2017/04/05/buick-turns-regal-into-rugged-station-wagon.html",8
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Taking a Bite Out of World Hunger, One Cricket at a Time","http://www.foxbusiness.com/features/2017/04/05/taking-bite-out-world-hunger-one-cricket-at-time.html",12
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Pepsi's Portrayal Of A Muslim Woman Was As Tone-Deaf As The Rest Of The Ad","http://www.huffingtonpost.com/entry/pepsi-ad-kendall-jenner-muslim-woman_us_58e50875e4b0d0b7e166e184?x0l&ncid=inblnkushpmg00000009",15
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Proof That Sean Spicer Treats The Press Like Rowdy Kindergarteners","http://www.huffingtonpost.com/entry/daily-show-sean-spicer-kindergarten-teacher-us_us_58e58b07e4b0917d347710b9?ncid=inblnkushpmg00000009",10
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Trevor Noah Turns Iconic Civil Rights Moments Into 'Woke' Advertisements","http://www.huffingtonpost.com/entry/daily-show-pepsi-commercial-all-brands-woke_us_58e595cae4b0fe4ce0882733?e3m&ncid=inblnkushpmg00000009",10
"The New York Times - Breaking News, World News & Multimedia","Don’t Let Jeff Sessions Undermine Police Reform","https://www.nytimes.com/2017/04/05/opinion/dont-let-jeff-sessions-undermine-police-reform.html",7
"The New York Times - Breaking News, World News & Multimedia","Should I Run for My Life or Stay With My Patients?","https://www.nytimes.com/2017/04/05/opinion/syrias-chemical-weapons-horror.html",11
"The New York Times - Breaking News, World News & Multimedia","Bannon’s Out. But Did H.R. McMaster Win?","https://www.nytimes.com/2017/04/05/opinion/did-hr-mcmaster-win.html",7
"The New York Times - Breaking News, World News & Multimedia","Learning to Love the Nuclear Option","https://www.nytimes.com/2017/04/05/opinion/filibusters-arent-the-problem.html",6
"USA TODAY: Latest World and US News  - USATODAY.com","Activate your digital access.","https://service.usatoday.com/firsttime/first_time.jsp&requested-state=create-account",4
"Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos","Jeter, Jeb Bush Among Billion-Dollar Bidders for Battered Marlins","http://www.foxbusiness.com/features/2017/04/05/jeter-jeb-bush-among-billion-dollar-bidders-for-battered-marlins.html",9
"Breaking News and Opinion on The Huffington Post | The Huffington Post","New York Times Makes A Doozy Of A Slip About Ivanka Trump","http://www.huffingtonpost.com/entry/new-york-times-ivanka-trump-wife_us_58e561cae4b06a4cb30ef151?l4&ncid=inblnkushpmg00000009",12
"Breaking News and Opinion on The Huffington Post | The Huffington Post","Barry Manilow Comes Out As Gay At Age 73","http://www.huffingtonpost.com/entry/barry-manilow-comes-out_us_58e5102be4b0fe4ce08720c0?xo8&ncid=inblnkushpmg00000009",9
